taxid,status
156902,Least Concern
357122,Least Concern
980957,Near Threatened
980958,Endangered
2912980,Least Concern
357125,Least Concern
2912982,Data Deficient
2747172,Vulnerable
4465,Least Concern
55184,Least Concern
1196268,Least Concern
1196269,Least Concern
1196270,Least Concern
1226045,Least Concern
2754733,Least Concern
2754737,Least Concern
2754753,Least Concern
2754760,Least Concern
2754763,Least Concern
2754766,Least Concern
2754772,Least Concern
51850,Least Concern
51851,Least Concern
1235866,Least Concern
1689659,Data Deficient
1609327,Data Deficient
3040386,Least Concern
392910,Least Concern
2024666,Least Concern
217125,Least Concern
1561733,Endangered
217127,Least Concern
1027048,Endangered
1027050,Least Concern
217130,Critically Endangered
217131,Least Concern
513298,Least Concern
513302,Least Concern
513299,Vulnerable
451382,Least Concern
245038,Least Concern
451383,Least Concern
451384,Least Concern
451385,Vulnerable
513300,Endangered
279927,Least Concern
317300,Least Concern
317301,Least Concern
1602266,Least Concern
1744986,Least Concern
1744987,Least Concern
1744990,Critically Endangered
316450,Least Concern
2593634,Least Concern
2593635,Least Concern
190720,Least Concern
589931,Vulnerable
387580,Endangered
387584,Endangered
402627,Vulnerable
435336,Endangered
68476,Least Concern
39621,Least Concern
992916,Extinct
435339,Least Concern
68484,Least Concern
68469,Least Concern
126873,Vulnerable
435337,Vulnerable
126874,Least Concern
68474,Least Concern
435335,Critically Endangered
68482,Least Concern
68479,Endangered
1114299,Critically Endangered
435340,Near Threatened
1114297,Critically Endangered
435332,Extinct
68470,Least Concern
435338,Least Concern
992917,Extinct
68480,Least Concern
1233980,Extinct
68483,Least Concern
161545,Least Concern
68471,Vulnerable
68475,Least Concern
857054,Least Concern
435334,Vulnerable
435341,Critically Endangered
2575904,Near Threatened
126875,Least Concern
52609,Least Concern
48156,Least Concern
68481,Near Threatened
435331,Critically Endangered
68485,Least Concern
435333,Least Concern
435342,Vulnerable
68477,Vulnerable
126876,Endangered
1114300,Extinct
1878966,Least Concern
158083,Least Concern
337691,Least Concern
803241,Least Concern
46287,Least Concern
39267,Least Concern
169987,Least Concern
2572401,Least Concern
191965,Endangered
239275,Endangered
2249260,Near Threatened
1686262,Data Deficient
340431,Near Threatened
1240469,Vulnerable
1930294,Vulnerable
240811,Least Concern
1930295,Critically Endangered
1930297,Vulnerable
1642172,Least Concern
2726512,Least Concern
43715,Least Concern
354482,Least Concern
1653310,Data Deficient
1653484,Near Threatened
1653312,Vulnerable
273129,Least Concern
354484,Least Concern
1487080,Least Concern
1653313,Least Concern
273130,Least Concern
1619819,Least Concern
1653314,Least Concern
354485,Least Concern
273126,Least Concern
1487081,Near Threatened
1487082,Endangered
1653318,Near Threatened
1487083,Least Concern
273124,Least Concern
614154,Data Deficient
614089,Least Concern
614090,Least Concern
300547,Endangered
300546,Least Concern
3040387,Data Deficient
513054,Vulnerable
676057,Least Concern
287157,Vulnerable
367763,Vulnerable
117777,Vulnerable
1391134,Near Threatened
140238,Vulnerable
117779,Near Threatened
1929007,Vulnerable
513055,Vulnerable
55974,Data Deficient
1911932,Data Deficient
513056,Least Concern
513057,Near Threatened
513058,Vulnerable
89338,Least Concern
6130,Critically Endangered
513061,Least Concern
877182,Least Concern
45264,Data Deficient
159855,Data Deficient
46686,Least Concern
513062,Vulnerable
513063,Vulnerable
1505765,Vulnerable
70779,Near Threatened
117776,Near Threatened
34495,Vulnerable
1391135,Least Concern
